,dscrt_train,dscrt,N,H,space,kappa,kappa_T,sigma,initial,constraint,restarts,epochs,batch_size,validation_size,learning_rate,max_gb,MC_,sig_comp,res,err,time,train_time,eval_time
53,100,100,1,1.0,sig,0.001,0.1,0.02,1.0,,3,301,2048,4096,0.1,32,1048576,tX,-1.0464393624776402,4.6905967348346896e-07,2024-02-14 17:40:10,9.226091623306274,18.92024540901184
54,100,100,2,1.0,log,0.001,0.1,0.02,1.0,,3,301,2048,4096,0.1,32,1048576,tX,-1.6055432754187156,1.1085712393201486e-06,2024-02-14 17:42:20,41.79568839073181,64.66245293617249
56,100,100,3,1.0,sig,0.001,0.1,0.02,1.0,,3,301,2048,4096,0.1,32,1048576,tX,-1.0658892951020986,8.75511020045575e-07,2024-02-14 17:42:13,15.170202732086182,44.85596990585327
84,1000,1000,3,1.0,sig,0.001,0.1,0.02,1.0,,3,301,2048,4096,0.1,32,1048576,tX,-1.0028568988466042,2.3989533142641494e-07,2024-02-14 17:55:07,121.98008680343628,244.21057748794556
5,100,100,4,1.0,sig,0.001,0.1,0.02,1.0,,3,301,2048,4096,0.1,32,1048576,tX,-1.0861449261310412,1.003994084733155e-06,2024-02-14 17:43:18,15.842467546463013,48.79374599456787
82,1000,1000,2,1.0,log,0.001,0.1,0.02,1.0,,3,301,2048,4096,0.1,32,1048576,tX,-1.0030085116067335,2.1504693156376665e-07,2024-02-14 17:56:51,286.70936274528503,359.9647078514099
61,1000,1000,4,1.0,sig,0.001,0.1,0.02,1.0,,3,301,2048,4096,0.1,32,1048576,tX,-1.0036642891663432,2.559169837041981e-07,2024-02-14 18:07:35,220.45374989509583,624.4452483654022
62,1000,1000,5,1.0,sig,0.001,0.1,0.02,1.0,,3,301,2048,4096,0.1,32,1048576,tX,-1.0033340022792818,2.499009996641269e-07,2024-02-14 18:23:10,353.3308002948761,1133.8046004772186
64,100,100,3,1.0,log,0.001,0.1,0.02,1.0,,3,301,2048,4096,0.1,32,1048576,tX,-1.421919754169016,7.05927442168481e-07,2024-02-14 17:42:18,27.172765731811523,41.14471220970154
104,1000,1000,2,1.0,sig,0.001,0.1,0.02,1.0,,3,301,2048,4096,0.1,32,1048576,tX,-1.0023247892077891,2.2827249245417185e-07,2024-02-14 17:51:51,118.09311866760254,229.87841820716858
96,1000,1000,3,1.0,log,0.001,0.1,0.02,1.0,,3,301,2048,4096,0.1,32,1048576,tX,-1.0075254465223678,2.7968184282251885e-07,2024-02-14 17:59:16,280.9220395088196,328.0544123649597
